UNASSIGNED,gs://xr-showdown-2020/images/screen_0.png,cup,0.4451805,0.7057604,,,0.8158438,0.79408,,
UNASSIGNED,gs://xr-showdown-2020/images/screen_1.png,cup,0,0.4652007,,,0.4325435,0.7759287,,
UNASSIGNED,gs://xr-showdown-2020/images/screen_2.png,cup,0.4260854,0.6736426,,,1,0.9682444,,
UNASSIGNED,gs://xr-showdown-2020/images/screen_3.png,cup,0,0.6057966,,,0.282986,0.7760026,,
UNASSIGNED,gs://xr-showdown-2020/images/screen_4.png,cup,0.7303466,0.6798678,,,1,0.8662806,,
UNASSIGNED,gs://xr-showdown-2020/images/screen_5.png,cup,0,0.3906578,,,0.4044422,0.6729652,,
UNASSIGNED,gs://xr-showdown-2020/images/screen_6.png,cup,1,0.6603001,,,1,0.8183393,,
UNASSIGNED,gs://xr-showdown-2020/images/screen_7.png,cup,0,0.8810136,,,0.5422955,1,,
UNASSIGNED,gs://xr-showdown-2020/images/screen_8.png,cup,0.7280577,0.4951929,,,1,0.700967,,
UNASSIGNED,gs://xr-showdown-2020/images/screen_9.png,cup,0,0.6717758,,,0.5283762,0.9476377,,
UNASSIGNED,gs://xr-showdown-2020/images/screen_0.png,cup,0.7378084,0.6768226,,,1,0.8377243,,
UNASSIGNED,gs://xr-showdown-2020/images/screen_1.png,cup,0.4204882,0.6109304,,,0.8436212,0.7812802,,
UNASSIGNED,gs://xr-showdown-2020/images/screen_2.png,cup,0,0.6652116,,,0.6990523,0.8866731,,
UNASSIGNED,gs://xr-showdown-2020/images/screen_3.png,cup,0.5016831,0.6714566,,,0.990226,0.7816492,,
UNASSIGNED,gs://xr-showdown-2020/images/screen_4.png,cup,0.2210375,0.6985341,,,0.8941965,0.8849406,,
UNASSIGNED,gs://xr-showdown-2020/images/screen_5.png,cup,0,0.6189826,,,0.3010552,0.880894,,
UNASSIGNED,gs://xr-showdown-2020/images/screen_6.png,cup,0.5674194,0.6718602,,,0.8771728,0.8114575,,
UNASSIGNED,gs://xr-showdown-2020/images/screen_7.png,cup,0.8878338,0.478675,,,1,0.8065036,,
UNASSIGNED,gs://xr-showdown-2020/images/screen_8.png,cup,0.3273024,0.5798885,,,0.8471262,0.7122248,,
UNASSIGNED,gs://xr-showdown-2020/images/screen_9.png,cup,0.2011906,0.5997942,,,0.8296438,0.801385,,

